Version	Id	Symbol	Flags	Location	Long Name	Short Name	Recruit	Group	Looking	Time	Race	Gender	Loyalty	Energy	Reckless	Strength	Cowardly	Courage	Despondency	Fear	Orders	Carrying	Warriors	Riders	Following	Foe	Liege	Traits	Home	Desired Object
1	18	CH_LOTHORIL	RIDING+ALIVE+ARMY+HIDE+HORSE	12,11	The Lord of Lothoril	Lothoril	26	2	DR_EAST	16	RA_FEY	GD_MALE	RA_FREE	64	100	8	60	0	0	0	None		200	500		CH_DOOMDARK				
1	19	CH_KORINEL	ALIVE+ARMY+HIDE+HORSE	24,22	Korinel the Fey	Korinel	26	2	DR_NORTH	16	RA_FEY	GD_MALE	RA_FREE	64	120	12	60	0	0	0	None		0	1000		CH_DOOMDARK				
1	20	CH_THRALL	RIDING+ALIVE+ARMY+HIDE+HORSE	34,39	The Lord of Thrall	Thrall	26	2	DR_NORTHWEST	16	RA_FEY	GD_MALE	RA_FREE	64	150	10	70	0	0	0	None		300	600		CH_DOOMDARK				
1	21	CH_BRITH	RIDING+ALIVE+ARMY+HIDE+HORSE	22,50	Lord Brith	Brith	1	1	DR_NORTHEAST	16	RA_FREE	GD_MALE	RA_FREE	64	100	8	40	0	0	0	None		500	300		CH_DOOMDARK				
1	22	CH_RORATH	RIDING+ALIVE+ARMY+HIDE+HORSE	24,61	Lord Rorath	Rorath	1	1	DR_NORTH	16	RA_FREE	GD_MALE	RA_FREE	64	100	8	50	0	0	0	None		800	400		CH_DOOMDARK				
1	23	CH_TRORN	RIDING+ALIVE+ARMY+HIDE+HORSE	55,51	Lord Trorn	Trorn	1	1	DR_NORTHWEST	16	RA_FREE	GD_MALE	RA_FREE	64	100	8	35	0	0	0	None		400	800		CH_DOOMDARK				
1	24	CH_MORNING	RIDING+ALIVE+ARMY+HIDE+HORSE	40,52	The Lord of Morning	Morning	1	1	DR_NORTH	16	RA_FREE	GD_MALE	RA_FREE	64	120	8	40	0	0	0	None		300	800		CH_DOOMDARK				
1	25	CH_ATHORIL	RIDING+ALIVE+ARMY+HIDE+HORSE	55,39	Lord Athoril	Athoril	1	1	DR_NORTH	16	RA_FREE	GD_MALE	RA_FREE	64	120	8	50	0	0	0	None		800	300		CH_DOOMDARK				
1	26	CH_BLOOD	RIDING+ALIVE+ARMY+HIDE+HORSE	22,37	Lord Blood	Blood	1	1	DR_NORTH	16	RA_FREE	GD_MALE	RA_FREE	64	150	15	80	0	0	0	None		1200	0		CH_DOOMDARK				
1	27	CH_HERATH	RIDING+ALIVE+ARMY+HIDE+HORSE	46,27	Lord Herath	Herath	1	1	DR_NORTHEAST	16	RA_FREE	GD_MALE	RA_FREE	64	130	8	40	0	0	0	None		500	600		CH_DOOMDARK				
1	28	CH_MITHARG	RIDING+ALIVE+ARMY+HIDE+HORSE	30,47	Lord Mitharg	Mitharg	1	1	DR_NORTH	16	RA_FREE	GD_MALE	RA_FREE	64	130	8	50	0	0	0	None		500	600		CH_DOOMDARK				
1	29	CH_UTARG	RIDING+ALIVE+ARMY+HIDE+HORSE	60,35	The Utarg of Utarg	Utarg	0	4	DR_WEST	16	RA_TARG	GD_MALE	RA_FREE	64	180	20	80	0	0	0	None		1000	0		CH_DOOMDARK				
1	30	CH_FAWKRIN	ALIVE+HIDE+CANDESTROYICECROWN	2,11	Fawkrin the Skulkrin	Fawkrin	0	32	DR_EAST	16	RA_SKULKRIN	GD_MALE	RA_FREE	64	200	1	30	0	0	0	None		0	0		CH_DOOMDARK				
1	31	CH_LORGRIM	ALIVE+HIDE+HORSE+CANDESTROYICECROWN	63,1	Lorgrim the Wise	Lorgrim	127	16	DR_SOUTH	16	RA_WISE	GD_MALE	RA_FREE	64	200	20	70	0	0	0	None		0	0		CH_DOOMDARK				
1	32	CH_FARFLAME	ALIVE+HIDE+CANDESTROYICECROWN	13,24	Farflame the Dragonlord	Farflame	0	64	DR_SOUTHEAST	16	RA_DRAGON	GD_MALE	RA_FREE	64	200	100	127	0	0	0	None		0	0		CH_DOOMDARK				
1	33	CH_MIDWINTER	RIDING+ALIVE+HORSE	38,18	Lord of Midwinter	Midwinter	0	0	DR_SOUTH	16	RA_MIDWINTER	GD_MALE	RA_FEY	127	200	100	127	0	0	0	None	OB_EYEOFTHEMOON	0	0						
1	34	CH_DOOMDARK	HIDDEN+RIDING+ALIVE+HIDE+HORSE	0,0	Doomdark the Witchking	Doomdark	0	0	DR_NORTH	0	RA_DOOMDARK	GD_MALE	RA_DOOMDARK	127	255	100	127	0	0	0	None		0	0		CH_LUXOR				
