Version	Id	Symbol	Flags	Location
11	71	PL_DAWN_KEEP_71		43,47
11	72	PL_KEEP_OF_TORKREN		8,48
11	73	PL_KEEP_OF_GARD		11,48
11	74	PL_TRORN_KEEP_74		49,49
11	75	PL_KEEP_OF_BRITH		22,50
11	76	PL_KEEP_OF_CORELAY		46,50
11	77	PL_KEEP_OF_TRORN		55,51
11	78	PL_KEEP_OF_MORNING		40,52
11	79	PL_MORNING_KEEP_79		43,52
11	80	PL_TRORN_KEEP_80		51,52
11	81	PL_CORELAY_KEEP_81		47,53
11	82	PL_GARD_KEEP_82		13,55
11	83	PL_KEEP_OF_ODRARK		26,55
11	84	PL_CORELAY_KEEP_84		45,55
11	85	PL_CORELAY_KEEP_85		56,55
11	86	PL_KEEP_OF_SILENCE		8,56
11	87	PL_CITADEL_GARD		11,56
11	88	PL_KEEP_OF_ISHMALAY		18,57
11	89	PL_BRITH_KEEP_89		22,57
11	90	PL_CORELAY_KEEP_90		38,57
11	91	PL_SILENCE_KEEP_91		9,58
11	92	PL_GARD_KEEP_92		13,58
11	93	PL_CORELAY_KEEP_93		40,59
11	94	PL_CORELAY_KEEP_94		57,59
11	95	PL_CORELAY_KEEP_95		64,59
11	96	PL_CORELAY_KEEP_96		43,60
11	97	PL_CITADEL_XAJORKITH		46,60
11	98	PL_TORKREN_KEEP_98		5,61
11	99	PL_BRITH_KEEP_102		15,61
11	100	PL_KEEP_OF_RORATH		24,61
11	101	PL_KEEP_OF_THIMRATH		34,61
11	102	PL_CORELAY_KEEP_101		60,61
11	103	PL_WEIRDHENGE		19,4
11	104	PL_CAVERN_OF_CRARG		43,12
11	105	PL_OGRIM_LITH_106		8,22
11	106	PL_RUIN_KUMAR_111		63,25
11	107	PL_LITH_OF_ASHIMAR		7,38
11	108	PL_LAKE_ASHIMAR		3,40
11	109	PL_LITH_OF_SHIMERIL		30,45
11	110	PL_PLAINS_TORKREN_109		1,48
11	111	PL_RUIN_OF_RORATH		28,58
11	112	PL_RUIN_OF_ODRARK		21,61
11	113	PL_TOWER_OF_THE_MOON		13,41
11	114	PL_RUIN_OF_COROTH		13,24
11	115	PL_MOONHENGE		2,11
11	116	PL_TOWER_OF_LORGRIM		63,1
11	117	PL_TOWER_OF_DOOM		27,5
11	118	PL_LAKE_MIRROW		10,18
11	119	PL_VILLAGE_OF_THRALL		34,39
11	120	PL_VILLAGE_OF_KOR		24,22
11	121	PL_ICE_FEAR_CENTRE		27,5
