Version	Id	Symbol	Flags	Location
7	80	PL_TRORN_KEEP_80		51,52
7	81	PL_CORELAY_KEEP_81		47,53
7	82	PL_GARD_KEEP_82		13,55
7	83	PL_KEEP_OF_ODRARK		26,55
7	84	PL_CORELAY_KEEP_84		45,55
7	85	PL_CORELAY_KEEP_85		56,55
7	86	PL_KEEP_OF_SILENCE		8,56
7	87	PL_CITADEL_GARD		11,56
7	88	PL_KEEP_OF_ISHMALAY		18,57
7	89	PL_BRITH_KEEP_89		22,57
7	90	PL_CORELAY_KEEP_90		38,57
7	91	PL_SILENCE_KEEP_91		9,58
7	92	PL_GARD_KEEP_92		13,58
7	93	PL_CORELAY_KEEP_93		40,59
7	94	PL_CORELAY_KEEP_94		57,59
7	95	PL_CORELAY_KEEP_95		64,59
7	96	PL_CORELAY_KEEP_96		43,60
7	97	PL_CITADEL_XAJORKITH		46,60
7	98	PL_TORKREN_KEEP_98		5,61
7	99	PL_BRITH_KEEP_102		15,61
7	100	PL_KEEP_OF_RORATH		24,61
7	101	PL_KEEP_OF_THIMRATH		34,61
7	102	PL_CORELAY_KEEP_101		60,61
7	103	PL_WEIRDHENGE		19,4
7	104	PL_CAVERN_OF_CRARG		43,12
7	105	PL_OGRIM_LITH_106		8,22
7	106	PL_RUIN_KUMAR_111		63,25
7	107	PL_LITH_OF_ASHIMAR		7,38
7	108	PL_LAKE_ASHIMAR		3,40
7	109	PL_LITH_OF_SHIMERIL		30,45
7	110	PL_PLAINS_TORKREN_109		1,48
7	111	PL_RUIN_OF_RORATH		28,58
7	112	PL_RUIN_OF_ODRARK		21,61
7	113	PL_TOWER_OF_THE_MOON		13,41
7	114	PL_RUIN_OF_COROTH		13,24
7	115	PL_MOONHENGE		2,11
7	116	PL_TOWER_OF_LORGRIM		63,1
7	117	PL_TOWER_OF_DOOM		27,5
7	118	PL_LAKE_MIRROW		10,18
7	119	PL_VILLAGE_OF_THRALL		34,39
7	120	PL_VILLAGE_OF_KOR		24,22
7	121	PL_ICE_FEAR_CENTRE		27,5
