Version	Id	Symbol	Flags	Location	RouteNodes
11	85	RN_CORELAY_KEEP_85		56,55	RN_CORELAY_KEEP_94,RN_CITADEL_XAJORKITH
11	86	RN_KEEP_OF_SILENCE		8,56	RN_SILENCE_KEEP_91,RN_SILENCE_KEEP_91
11	87	RN_CITADEL_GARD		11,56	RN_KEEP_OF_SILENCE,RN_GARD_KEEP_92
11	88	RN_KEEP_OF_ISHMALAY		18,57	RN_BRITH_KEEP_89,RN_RUIN_OF_ODRARK
11	89	RN_BRITH_KEEP_89		22,57	RN_RUIN_OF_ODRARK,RN_KEEP_OF_ODRARK
11	90	RN_CORELAY_KEEP_90		38,57	RN_CORELAY_KEEP_93,RN_CORELAY_KEEP_93
11	91	RN_SILENCE_KEEP_91		9,58	RN_GARD_KEEP_92,RN_BRITH_KEEP_102
11	92	RN_GARD_KEEP_92		13,58	RN_BRITH_KEEP_102,RN_KEEP_OF_ISHMALAY
11	93	RN_CORELAY_KEEP_93		40,59	RN_CORELAY_KEEP_96,RN_CORELAY_KEEP_96
11	94	RN_CORELAY_KEEP_94		57,59	RN_CITADEL_XAJORKITH,RN_CITADEL_XAJORKITH
11	95	RN_CORELAY_KEEP_95		64,59	RN_CORELAY_KEEP_94,RN_CORELAY_KEEP_101
11	96	RN_CORELAY_KEEP_96		43,60	RN_CITADEL_XAJORKITH,RN_CITADEL_XAJORKITH
11	97	RN_CITADEL_XAJORKITH		46,60	RN_CITADEL_XAJORKITH,RN_CITADEL_XAJORKITH
11	98	RN_TORKREN_KEEP_98		5,61	RN_GARD_KEEP_92,RN_BRITH_KEEP_102
11	99	RN_KEEP_OF_THIMRATH		34,61	RN_CORELAY_KEEP_93,RN_CORELAY_KEEP_96
11	100	RN_KEEP_OF_RORATH		24,61	RN_KEEP_OF_ODRARK,RN_RUIN_OF_RORATH
11	101	RN_CORELAY_KEEP_101		60,61	RN_CITADEL_XAJORKITH,RN_CITADEL_XAJORKITH
11	102	RN_BRITH_KEEP_102		15,61	RN_KEEP_OF_RORATH,RN_KEEP_OF_RORATH
11	103	RN_RUIN_OF_RORATH		28,58	RN_KEEP_OF_THIMRATH,RN_KEEP_OF_THIMRATH
11	104	RN_CAVERN_OF_CRARG		43,12	RN_KOR_KEEP_16,RN_KOR_KEEP_16
11	105	RN_WEIRDHENGE		19,4	RN_LOST_KEEP_13,RN_GLORIM_KEEP_19
11	106	RN_OGRIM_LITH_106		8,22	RN_KEEP_OF_DODRAK,RN_LITH_OF_ASHIMAR
11	107	RN_LITH_OF_ASHIMAR		7,38	RN_LAKE_ASHIMAR,RN_KEEP_OF_GARD
11	108	RN_LAKE_ASHIMAR		3,40	RN_PLAINS_TORKREN_109,RN_PLAINS_TORKREN_109
11	109	RN_PLAINS_TORKREN_109		1,48	RN_KEEP_OF_TORKREN,RN_TORKREN_KEEP_98
11	110	RN_RUIN_OF_ODRARK		21,61	RN_KEEP_OF_RORATH,RN_KEEP_OF_RORATH
11	111	RN_RUIN_KUMAR_111		63,25	RN_CITADEL_KUMAR,RN_KEEP_OF_UTARG
11	112	RN_LITH_OF_SHIMERIL		30,45	RN_CITADEL_DAWN,RN_KEEP_OF_MITHARG
