ID	Code	Value	Description
41	SS_BATTLE_WARRIORS_RIDERS	{char:name} lost %s warriors and %s riders.§	Character lost warriors and riders in battle
42	SS_BATTLE_CHARACTER_SLEW	{char:name} slew %s.§	Character killed soldiers in battle
43	SS_BATTLE_WARRIORS_SLEW	{case:first}{char:gender:hisher} warriors slew %s of the foe.§	Characters Warriors killed soldiers in battle
44	SS_BATTLE_RIDERS_SLEW	{case:first}{char:gender:hisher} riders slew %s of the foe.§	Characters riders killed soldiers in battle
45	SS_BATTLE_VICTORY_FREE	won a victory.§	Character won the battle
46	SS_BATTLE_VICTORY_ENEMY	was defeated.§	The enemy won the battle
47	SS_BATTLE_VICTORY_NONE	won no victory.§	The battle continues
48	SS_ARMY_CHARACTER_COMMANDS	{char:longname} commands	"Army Component: ""Luxor the Moonprince commands"""
49	SS_ARMY_CHARACTER_WARRIORS	They are %s.§	"Army Component: ""His warriors are utterly invigorated"""
50	SS_ARMY_CHARACTER_RIDERS	They are %s.§	"Army Component: ""His riderss are utterly invigorated"""
51	SS_ARMY_NONE	{str:48} no army.§	Character has no army
52	SS_ARMY_WARRIORS	{str:48} %s {char:race:soldiers} warriors.§{str:49}	Character commands just warriors
53	SS_ARMY_RIDERS	{str:48} %s {char:race:soldiers} riders.§{str:50}	Charactes commands just riders
54	SS_ARMY_WARRIORS_RIDERS	{str:48} %s warriors and %s riders.§{str:49}{str:50}	Character commands warriors and riders
55	SS_TERRAIN_PLURAL	{terrain:name}s	Plural Terrain
56	SS_TERRAIN_SINGLE	a {terrain:name}	Singular terrain
57	SS_AREA_PREFIXED	{area:prefix} {area:name}	Area with prefix
58	SS_DEFEAT1	§The evil Shareth has won victory!	Game Over: You have Lost
59	SS_DEFEAT2	"§{char:longname} is dead, {char:text:death2}\n{str:58}"	Game Over: All Moonring wearers are dead
60	SS_DEFEAT3	** UNUSED **	Game Over: All important Citadels have fallen and there is no one destroy the ice crown
61	SS_VICTORY1	\n\nVictory to the Free!§	Game Over: You have Won
62	SS_VICTORY2	After {special:days} {plural:day:days} the warriors of Midnight return to the frozen gates.§	Game Over: You have taken all your citadels
63	SS_VICTORY3	** UNUSED **	Game Over: Someone has destroyed the Ice Crown
64	SS_VICTORY4	\n\nThe Victory of the Moonprince is %s.§	Game Over: Someplace has destroyed the Ice Crown
65	SS_VICTORY5	"\n\nThe Watchwords of Midnight are revealed!\n\n'The brave and the free fear no foe.\nForth, mighty hosts of Midnight!\nUnto death or victory we go!'"	Game Over: You take all the citadels and Someone has destroyed the Ice Crown
66	SS_VICTORY6	** UNUSED **	Game Over: You take all the citadels and Someplace has destroyed the Ice Crown
67	SS_ZEROTOKENS	|no|none|zero	
68	SS_WARRIORS_RIDERS	{char:longname} has an army of %s warriors and %s riders.§	
69	SS_MESSAGE7	{char:loc:terrain:prep} {char:loc:name} stands {char:longname}{char:text:loyalty}.§{str:28}	Check Person: Not recruited
70	SS_BATTLE2	.\n\n§§The bloody sword of battle brings death in the Domain of {loc:area:text}	
71	SS_BATTLE3	§and of {loc:area:text}	
72	SS_PLURALTOKENS	has|have|day|days	
73	SS_STRONGHOLD1	The %s is owned by {char:longname}.§	
74	SS_STRONGHOLD2	The %s is owned by {char:longname}{char:text:loyalty}.§	
75	SS_STRONGHOLD3	%s holds %s %s %s. They are %s.§	
76	SS_FIGHT2	** UNUSED **	
77	SS_FIGHT3	** UNUSED **	
78	SS_FIGHT4	** UNUSED **	
79	SS_PREFIX_HERE	§§Here	
80	SS_PREFIX_AHEAD	§§Ahead	
81	SS_PREFIX_DIRECTION	§§To the {char:dir:name}	
82	SS_SEEK_MSG1	",§""{char:longname} stands {char:loc:terrain:prep} {char:loc:name}.""§"	
83	SS_SEEK_MSG2	",§""The %s, can be found %s.""§"	
84	SS_SEEK_MSG3	",§""The %s, can be found in the hands of {char:longname}.""§"	
85	SS_SEEK_MSG4	** UNUSED **	
86	SS_OBJECT_NAME	{obj:type} of {obj:name}	
87	SS_OBJECT_POWER	whose power is in {obj:power}	
88	SS_OBJECT_FULL_DESCRIPTION	the {str:86} {str:87}.§	
89	SS_VICTORY7	** UNUSED **	Game Over: Someone has destroyed the Ice Crown
90	SS_MESSAGE8	{char:loc:terrain:prep} {char:loc:name} stands {char:longname}.§{char:text:energy}.§{char:text:courage}.§{char:text:obj}.§	
91	SS_CHARACTER_CANNOT_CONTINUE	%s and cannot continue	
92	SS_TOKENS_DESPONDENT	despondent|despondent	
93	SS_TOKENS_RECKLESS	reckless|reckless	
94	SS_CHAR_DESPONDENCY_TIRED	{char:name} is {char:despondency} and {char:energy}.	
95	SS_CHAR_LIEGE	{char:name}'s liege is {char:liege:longname}.	
96	SS_CHAR_FOE	{char:name}'s foe is {char:foe:longname}.	
97	SS_TOKENS_TRAITS	good|strong|forceful|generous|stubborn|brave|swift|loyal|evil|weak|reticent|greedy|fawning|cowardly|slow|treacherous|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-	
98	SS_TUNNEL	{char:longname} stands in a tunnel looking {char:dir:name}.§{char:text:time}.	
99	SS_GROUP_LEADER	{case:first}{char:gender:heshe} is leading a group.	
100	SS_GROUP_FOLLOWER	{case:first}{char:gender:heshe} is following {char:following:longname}.	
101	SS_LOYAL_TO	§who is loyal to the {char:loyalty:name}	
102	SS_BATTLE_PREPARES_BATTLE	{char:longname} prepares to do battle. . .§	
103	SS_KILLED_BY	§killed in battle by {char:battle:fighting:longname}.§	
104	SS_KILLED_IN_BATTLE	§killed in battle.§	
105	SS_SPARE_1		
106	SS_SPARE_2		
107	SS_SPARE_3		
108	SS_SPARE_4		
109	SS_SPARE_5		
110	SS_SEES_1	{char:shortname} sees the %s and an underground entrance.§	
111	SS_SEES_2	{char:shortname} sees the %s.§	
112	SS_SEES_3	{char:shortname} sees an underground entrance.§	
113	SS_LOCATION_PREP_1	in the tunnel	
114	SS_LOCATION_PREP_2	{loc:terrain:prep} {loc:name}	
115	SS_CHARACTER_DEAD	"\n§§{char:longname} is dead, {char:text:death2}"	
116	SS_CHARACTER_HERE	{char:name} is here.§	
117	SS_SHARETH_DEAD	{char:name} is dead.§	
118	SS_OBJECT_USE_1	"{char:longname} places the {obj:text} on {char:gender:hisher} head, the power contained within brings all lords loyal to the Moonprince to {char:gender:himher}."	
119	SS_OBJECT_USE_2	{char:longname} casts the {obj:text} and {char:gender:heshe} is magically transported to be with Morkin.	
120	SS_OBJECT_USE_3	"{char:longname} throws the {obj:text}, all lords loyal to the Moonprince are refreshed and envigorated."	
121	SS_OBJECT_USE_4	{char:longname} uses the {obj:text} and {char:gender:heshe} now feels refreshed and envigorated.	
122	SS_MESSAGE_MIST	§§{char:longname} stands {char:loc:terrain:prep} {char:loc:name} looking {char:dir:name} into the mist.§	
123	SS_TOKENS_VICTORY	none|worthy|noble|overwhelming	
